contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,Symbol,Stock_Price,Expiry,Data_Date,mid_price,IV,Time_Bisect,Time_Newton,Parity_Price,Delta_An,Delta_Num,Gamma_An,Gamma_Num,Vega,Moneyness
TSLA260213C00240000,2026-02-11 16:23:16+00:00,240.0,186.45,174.5,177.55,0.0,0.0,2.0,33,4.078129902343751,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,176.025,0.5,0.03681492805480957,0.0004417896270751953,-0.2257899913786332,1.0,0.9999999999990905,1.8886487444787737e-265,4515.799827572664,1.6360960796892994e-263,1.734333292643229
TSLA260213C00250000,2026-02-12 18:40:40+00:00,250.0,167.07,163.65,167.15,-9.779999,-5.5301094,3.0,13,3.572266694335937,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,165.4,0.5,0.04363250732421875,0.00038361549377441406,-0.8512399812537979,1.0,0.9999999999990905,7.730932427568302e-228,17024.799625075957,6.697141686120203e-226,1.6649599609375
TSLA260213C00255000,2026-02-12 18:34:05+00:00,255.0,161.41,159.5,162.55,-10.2599945,-5.97658,11.0,5,3.6845711010742193,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,161.025,0.5,0.04244351387023926,0.0003991127014160156,-0.22646497619138017,1.0,0.9999999999990905,1.2330345965931276e-210,4529.2995238276035,1.0681515424743743e-208,1.6323136871936275
TSLA260213C00260000,2026-02-11 18:55:45+00:00,260.0,165.78,153.85,157.05,0.0,0.0,8.0,3,3.263673715820312,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,155.45,0.5,0.04139566421508789,0.0003762245178222656,-0.8016899711289511,1.0,0.9999999999990905,1.986798872988552e-194,16033.799422579023,1.7211214402521323e-192,1.6009230393629807
TSLA260213C00265000,2026-02-11 19:27:14+00:00,265.0,162.74,149.9,152.95,0.0,0.0,1.0,35,2.496097509765625,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,151.425,0.5,0.04013228416442871,0.0004451274871826172,0.17308503393348929,1.0,0.9999999999990905,3.632276653254703e-179,-3461.7006786697857,3.146563705988146e-177,1.5707169442806603
TSLA260213C00270000,2026-02-12 17:52:55+00:00,270.0,147.1,143.9,147.0,9.630005,7.0051684,2.0,6,3.0000025,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,145.45,0.5,0.04350757598876953,0.0004470348358154297,-0.8021399610041158,1.0,0.9999999999990905,8.397924933443299e-165,16042.799220082316,7.274943051903223e-163,1.541629593460648
TSLA260213C00275000,2026-02-11 15:36:15+00:00,275.0,146.83,139.55,142.45,0.0,0.0,5.0,19,3.1425802685546875,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,141.0,0.5,0.04025578498840332,0.00038242340087890625,-0.25236495594168673,1.0,0.9999999999990905,2.717891061736572e-151,5047.299118833735,2.3544509926100604e-149,1.5135999644886364
TSLA260213C00280000,2026-02-06 18:19:58+00:00,280.0,133.1,134.5,137.6,0.0,0.0,11.0,50,3.0952171057128903,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,136.05,0.5,0.047646522521972656,0.0004146099090576172,-0.20258995087925769,1.0,0.9999999999990905,1.354179152644811e-138,4051.7990175851537,1.1730964846248325e-136,1.4865713936941964
TSLA260213C00285000,2026-02-12 16:58:34+00:00,285.0,133.39,129.2,132.25,-9.050003,-6.3535542,1.0,56,2.81250296875,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,130.725,0.5,0.03845095634460449,0.0003681182861328125,-0.5278149458168286,1.0,0.9999999999990905,1.1356833952477943e-126,10556.29891633714,9.838182754548895e-125,1.4604911938048246
TSLA260213C00290000,2026-02-12 17:45:10+00:00,290.0,128.7,124.35,127.45,10.099998,8.516019,4.0,17,2.7968780078125004,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15,125.9,0.5,0.035251617431640625,0.0003609657287597656,-0.35303994075445644,1.0,0.9999999999990905,1.7432597330746928e-115,7060.79881508856,1.5101486835503915e-113,1.4353103111530172
