contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,OptionType,Symbol,Stock_Price,Expiry,Data_Date
TSLA260213C00315000,2026-02-12 15:02:45+00:00,315.0,112.78,99.8,102.45,0.9300003,0.831471,2.0,108,2.249027814941406,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00320000,2026-02-12 16:27:04+00:00,320.0,101.11,95.65,97.1,14.830002,17.188227,1.0,29,1.4570339648437498,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00322500,2026-02-06 15:32:15+00:00,322.5,87.62,92.05,94.95,0.0,0.0,20.0,5,2.090825085449218,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00325000,2026-02-12 19:11:51+00:00,325.0,90.15,89.75,92.45,-13.849998,-13.3173065,2.0,22,2.038579122314453,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00327500,2026-02-09 16:10:19+00:00,327.5,91.95,87.45,89.95,0.0,0.0,,4,1.986328193359375,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00330000,2026-02-10 16:55:49+00:00,330.0,84.98,84.65,87.7,-9.519997,-10.07407,14.0,83,2.0156299609375,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00332500,2026-02-10 14:32:34+00:00,332.5,90.92,82.15,85.0,0.0,0.0,,0,1.8999028442382815,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00335000,2026-02-12 17:42:02+00:00,335.0,83.5,79.95,82.85,5.790001,7.4507804,1.0,30,1.2636755566406248,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00337500,2026-02-09 15:54:51+00:00,337.5,79.3,77.5,80.0,0.0,0.0,,1,1.7968760156249999,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00340000,2026-02-12 17:59:32+00:00,340.0,75.11,75.0,77.75,-18.269997,-19.565214,40.0,17,1.15234798828125,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00342500,2026-02-12 17:59:45+00:00,342.5,72.47,72.1,74.95,21.670002,42.657486,20.0,31,1.6792008227539061,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00345000,2026-02-12 17:36:48+00:00,345.0,74.42,70.0,72.25,-7.0200043,-8.619848,11.0,155,1.5654318603515622,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00347500,2026-02-12 17:51:33+00:00,347.5,70.29,67.5,69.95,-1.1399994,-1.5959672,21.0,8,1.5781271093749998,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00350000,2026-02-12 18:13:27+00:00,350.0,66.04,65.05,67.4,-8.580002,-11.49826,28.0,97,1.513186027832031,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00352500,2026-02-12 17:38:46+00:00,352.5,67.07,62.55,64.95,-4.1299973,-5.800558,10.0,27,1.4775416748046877,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00355000,2026-02-12 19:14:53+00:00,355.0,59.75,60.35,62.25,-11.169998,-15.750138,33.0,115,0.7812521875,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00357500,2026-02-09 15:13:35+00:00,357.5,56.18,57.55,59.95,0.0,0.0,50.0,30,1.3774445190429687,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00360000,2026-02-12 14:55:53+00:00,360.0,69.83,55.0,57.3,4.5999985,7.051967,23.0,99,1.2866246606445313,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00362500,2026-02-12 18:03:41+00:00,362.5,52.41,53.0,54.95,-11.459999,-17.942694,12.0,20,0.91211025390625,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00365000,2026-02-12 17:50:19+00:00,365.0,52.82,50.35,52.85,-8.939999,-14.475387,28.0,83,0.946289599609375,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00367500,2026-02-12 19:01:08+00:00,367.5,49.2,48.25,48.85,-6.8199997,-12.174223,1.0,21,0.7226590234375,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00370000,2026-02-12 17:52:24+00:00,370.0,47.48,45.25,45.85,-10.869999,-18.628962,39.0,417,1.0000000000000003e-05,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00372500,2026-02-12 17:43:23+00:00,372.5,46.45,43.1,43.7,-16.55,-26.26984,10.0,104,1.0000000000000003e-05,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00375000,2026-02-12 17:55:11+00:00,375.0,41.3,40.75,41.35,-10.59,-20.408556,31.0,278,0.6171913281250001,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00377500,2026-02-12 17:43:15+00:00,377.5,41.47,38.35,38.95,-5.5,-11.709601,26.0,196,0.6640658593750002,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00380000,2026-02-12 18:03:00+00:00,380.0,35.02,35.8,36.45,-12.68,-26.58281,143.0,269,0.6259803027343751,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00382500,2026-02-12 17:53:13+00:00,382.5,34.55,33.3,33.9,-8.900002,-20.483316,12.0,139,0.5566450585937501,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00385000,2026-02-12 19:01:09+00:00,385.0,31.75,30.45,31.0,-10.349998,-24.584322,43.0,176,1.0000000000000003e-05,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00387500,2026-02-12 17:48:33+00:00,387.5,30.79,27.9,28.5,-8.219997,-21.071514,40.0,986,1.0000000000000003e-05,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00390000,2026-02-12 19:24:03+00:00,390.0,26.71,25.8,26.2,-11.32,-29.765976,470.0,845,1.0000000000000003e-05,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
TSLA260213C00392500,2026-02-12 15:05:58+00:00,392.5,34.67,22.95,23.5,-0.08000183,-0.2302211,6.0,965,1.0000000000000003e-05,True,REGULAR,USD,Call,TSLA,416.239990234375,2026-02-13,2026-02-12 19:56:15
