Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-02-13 09:30:00-05:00,414.1400146484375,415.6099853515625,412.4200134277344,414.8599853515625,1330047,0.0,0.0
2026-02-13 09:31:00-05:00,414.7799072265625,415.9299011230469,413.010009765625,414.20001220703125,234313,0.0,0.0
2026-02-13 09:32:00-05:00,414.2550048828125,417.19000244140625,413.5,417.17999267578125,227970,0.0,0.0
2026-02-13 09:33:00-05:00,417.19000244140625,417.70001220703125,415.20001220703125,415.75250244140625,214961,0.0,0.0
2026-02-13 09:34:00-05:00,415.6000061035156,416.44000244140625,414.3900146484375,414.7149963378906,157043,0.0,0.0
2026-02-13 09:35:00-05:00,414.65008544921875,415.20001220703125,413.510009765625,415.1300048828125,173355,0.0,0.0
2026-02-13 09:36:00-05:00,415.09869384765625,415.45001220703125,414.260009765625,415.1600036621094,122801,0.0,0.0
2026-02-13 09:37:00-05:00,415.17999267578125,416.6600036621094,414.2799987792969,414.489013671875,180903,0.0,0.0
2026-02-13 09:38:00-05:00,414.4599914550781,415.3399963378906,414.0,414.9649963378906,127824,0.0,0.0
2026-02-13 09:39:00-05:00,415.04998779296875,415.20001220703125,413.3999938964844,413.5150146484375,154534,0.0,0.0
2026-02-13 09:40:00-05:00,413.5450134277344,413.70001220703125,412.2900085449219,412.52398681640625,254767,0.0,0.0
2026-02-13 09:41:00-05:00,412.6050109863281,412.8900146484375,411.80999755859375,412.010009765625,200119,0.0,0.0
2026-02-13 09:42:00-05:00,411.95001220703125,412.07000732421875,410.8800048828125,411.2850036621094,257851,0.0,0.0
2026-02-13 09:43:00-05:00,411.3699951171875,413.3999938964844,411.2900085449219,413.17999267578125,202477,0.0,0.0
2026-02-13 09:44:00-05:00,413.1549987792969,414.1300048828125,412.4100036621094,413.8500061035156,205450,0.0,0.0
2026-02-13 09:45:00-05:00,413.79998779296875,416.29998779296875,413.5899963378906,416.2853088378906,245477,0.0,0.0
2026-02-13 09:46:00-05:00,416.2300109863281,416.8999938964844,415.3299865722656,415.3299865722656,301766,0.0,0.0
2026-02-13 09:47:00-05:00,415.3399963378906,415.909912109375,414.3999938964844,415.5350036621094,203430,0.0,0.0
2026-02-13 09:48:00-05:00,415.5799865722656,416.3399963378906,415.3999938964844,415.94500732421875,133077,0.0,0.0
2026-02-13 09:49:00-05:00,416.0400085449219,416.4599914550781,414.62701416015625,414.81500244140625,159541,0.0,0.0
2026-02-13 09:50:00-05:00,414.739990234375,414.9200134277344,412.5,413.239990234375,223272,0.0,0.0
2026-02-13 09:51:00-05:00,413.239990234375,414.18499755859375,412.70001220703125,413.8800048828125,147434,0.0,0.0
2026-02-13 09:52:00-05:00,413.9700012207031,414.1799011230469,412.6000061035156,413.4422912597656,117760,0.0,0.0
2026-02-13 09:53:00-05:00,413.3900146484375,415.55999755859375,413.340087890625,414.3800048828125,188429,0.0,0.0
2026-02-13 09:54:00-05:00,414.4599914550781,415.7200012207031,414.1499938964844,414.1499938964844,122197,0.0,0.0
2026-02-13 09:55:00-05:00,414.1499938964844,416.25,414.1499938964844,415.6900939941406,131303,0.0,0.0
2026-02-13 09:56:00-05:00,415.8349914550781,415.94000244140625,412.8999938964844,412.9599914550781,161166,0.0,0.0
2026-02-13 09:57:00-05:00,412.8999938964844,413.639892578125,412.75,412.8193054199219,131919,0.0,0.0
2026-02-13 09:58:00-05:00,412.7799987792969,413.8500061035156,412.7699890136719,413.590087890625,122134,0.0,0.0
2026-02-13 09:59:00-05:00,413.53009033203125,413.8399963378906,413.2799987792969,413.5150146484375,117263,0.0,0.0
2026-02-13 10:00:00-05:00,413.4549865722656,414.4100036621094,413.2200012207031,414.2049865722656,135982,0.0,0.0
2026-02-13 10:01:00-05:00,414.17498779296875,414.83990478515625,413.6116027832031,414.57501220703125,128949,0.0,0.0
2026-02-13 10:02:00-05:00,414.57501220703125,414.7699890136719,413.3500061035156,414.6199951171875,138731,0.0,0.0
2026-02-13 10:03:00-05:00,414.5849914550781,414.6000061035156,412.75,412.82000732421875,114772,0.0,0.0
2026-02-13 10:04:00-05:00,412.8699951171875,414.3468017578125,412.75,413.9100036621094,123550,0.0,0.0
2026-02-13 10:05:00-05:00,413.9700012207031,414.010009765625,412.1099853515625,412.4100036621094,148063,0.0,0.0
2026-02-13 10:06:00-05:00,412.44500732421875,414.29998779296875,412.3700866699219,414.2528076171875,118967,0.0,0.0
2026-02-13 10:07:00-05:00,414.2250061035156,414.3999938964844,413.16009521484375,413.9200134277344,128331,0.0,0.0
2026-02-13 10:08:00-05:00,414.0155944824219,415.3299865722656,413.7300109863281,415.3086853027344,148087,0.0,0.0
